latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,host_identity_verified,calculated_host_listings_count,instant_bookable,reviews_per_month,review_scores_location,review_scores_cleanliness,price,bathrooms,has_wifi,has_ac,has_pool,has_parking,has_view,has_elevator,is_pet_friendly,has_balcony,neighbourhood_cleansed_Atasehir,neighbourhood_cleansed_Avcilar,neighbourhood_cleansed_Bagcilar,neighbourhood_cleansed_Bahcelievler,neighbourhood_cleansed_Bakirkoy,neighbourhood_cleansed_Basaksehir,neighbourhood_cleansed_Besiktas,neighbourhood_cleansed_Beyoglu,neighbourhood_cleansed_Esenyurt,neighbourhood_cleansed_Fatih,neighbourhood_cleansed_Kadikoy,neighbourhood_cleansed_Kagithane,neighbourhood_cleansed_Kucukcekmece,neighbourhood_cleansed_Maltepe,neighbourhood_cleansed_Other,neighbourhood_cleansed_Pendik,neighbourhood_cleansed_Sile,neighbourhood_cleansed_Sisli,neighbourhood_cleansed_Umraniye,neighbourhood_cleansed_Uskudar,property_type_Entire_home,property_type_Entire_rental_unit,property_type_Entire_serviced_apartment,property_type_Other,property_type_Private_room_in_bed_and_breakfast,property_type_Private_room_in_condo,property_type_Private_room_in_home,property_type_Private_room_in_rental_unit,property_type_Room_in_aparthotel,property_type_Room_in_boutique_hotel,property_type_Room_in_hotel,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
41.03384,28.97912,6,2.0,3.0,2.0,1125.0,237,159,4.9,1,1,1,0.0,1.0,4.92,4.88,7699.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.04057,28.98126,5,2.0,3.0,100.0,1125.0,365,0,4.79,1,1,13,0.0,0.0,4.83,4.75,916.35,2.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41.04408,28.97746,2,1.0,1.0,100.0,240.0,365,0,4.79,0,1,1,0.0,0.0,4.83,4.75,552.93,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.03228,28.98641,4,1.0,2.0,100.0,1125.0,365,0,4.79,0,1,3,0.0,0.0,4.83,4.75,2396.04,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.98832,29.02911,3,1.0,2.0,100.0,1125.0,363,23,4.65,0,1,3,0.0,0.14,4.82,4.59,743.09,1.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41.0317,28.98159,4,1.0,2.0,100.0,1125.0,358,1,4.0,0,1,5,0.0,0.01,5.0,4.0,1470.5,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.0383,28.98227,2,1.0,1.0,100.0,365.0,365,0,4.79,0,1,3,0.0,0.0,4.83,4.75,944.87,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41.03599,28.98266,6,2.0,3.0,100.0,365.0,362,36,4.3,0,1,3,0.0,0.2,4.5,4.31,1606.71,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.03919,28.98266,4,2.0,2.0,3.0,365.0,272,234,4.53,0,1,8,0.0,1.45,4.77,4.48,3327.75,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.01807403564453,29.068925857543945,3,1.0,2.0,101.0,1125.0,183,105,4.86,0,1,1,0.0,0.59,4.71,4.89,495.92,1.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
